,index,previousStableCoinBalance,previousTickerBalance,currentAction,priceAtCurrentAction,currentStableCoinBalance,currentTickerBalance
165,165,975.7701482570266,0.0,closeShortPosition,45700.01,490.86574756898364,0
166,166,0.0,0.010730301411781192,closeLongPosition,46770.01,501.3544480276885,0
167,167,0.0,0.01070885153925904,closeLongPosition,45928.96,491.35456757857435,0
168,168,981.7264260219915,0.0,closeShortPosition,45335.34,496.2025105070511,0
169,169,0.0,0.010934213970746533,closeLongPosition,43781.3,478.23538801532777,0
170,170,955.5143052546249,0.0,closeShortPosition,43395.57,480.98813128532896,0
171,171,961.0142863080873,0.0,closeShortPosition,43494.0,478.4331240465176,0
172,172,955.9093818449422,0.0,closeShortPosition,43543.02,476.4371340650897,0
173,173,951.9213938620493,0.0,closeShortPosition,43433.71,476.18083416596687,0
174,174,951.4093066636018,0.0,closeShortPosition,42406.82,485.9778905410061,0
175,175,970.9838253009302,0.0,closeShortPosition,42445.64,484.0531754598668,0
176,176,0.0,0.011392668888592725,closeLongPosition,42740.86,486.4455335277036,0
177,177,971.9181759883518,0.0,closeShortPosition,42784.43,484.46843368073274,0
178,178,0.0,0.011312151762850458,closeLongPosition,42259.43,477.5670404859839,0
179,179,0.0,0.011289538771476518,closeLongPosition,40764.79,459.7554615388821,0
180,180,918.5914121546865,0.0,closeShortPosition,39921.19,467.86034142415673,0
181,181,0.0,0.011707879476607098,closeLongPosition,40097.23,468.9840826496087,0
182,182,937.0301971339181,0.0,closeShortPosition,40134.51,467.11996149256237,0
183,183,933.3056830621396,0.0,closeShortPosition,41005.58,455.56852644355996,0
184,184,910.2259158342328,0.0,closeShortPosition,41290.81,451.0150223248175,0
185,185,901.1280146049853,0.0,closeShortPosition,39951.1,464.26082689155635,0
186,186,927.5931321293295,0.0,closeShortPosition,40103.26,461.08018429598604,0
187,187,921.2382082233801,0.0,closeShortPosition,40383.09,456.4615229579069,0
188,188,912.0101228698979,0.0,closeShortPosition,40539.47,453.30523841129366,0
189,189,905.7038663457647,0.0,closeShortPosition,40203.33,455.67957247413665,0
190,190,0.0,0.011323039482094207,closeLongPosition,40282.58,455.6651225368378,0
191,191,910.4189148286019,0.0,closeShortPosition,40200.01,455.2103076513284,0
192,192,909.5101946873541,0.0,closeShortPosition,38819.06,469.4462474407935,0
193,193,937.9536023867055,0.0,closeShortPosition,39464.46,460.21882290545466,0
194,194,919.5172081650984,0.0,closeShortPosition,40864.27,442.50853272090194,0
195,195,0.0,0.010817910712418968,closeLongPosition,41342.26,446.7896404522806,0
196,196,0.0,0.010796285708904842,closeLongPosition,41337.09,445.84074698069855,0
197,197,890.7898124674357,0.0,closeShortPosition,41371.85,444.1081907796352,0
198,198,887.3281651777112,0.0,closeShortPosition,41610.01,440.2013520783345,0
199,199,879.5223014525122,0.0,closeShortPosition,41814.92,436.6947962392915,0
200,200,0.0,0.010433072727223974,closeLongPosition,40628.73,423.45861240984175,0
201,201,846.0703075948638,0.0,closeShortPosition,39382.8,435.1422940466474,0
202,202,869.4143035052015,0.0,closeShortPosition,39533.62,432.15204118321134,0
203,203,863.4397782840563,0.0,closeShortPosition,39828.68,427.6134217207068,0
204,204,854.3716165979722,0.0,closeShortPosition,39703.67,427.6518012379323,0
205,205,0.0,0.010760318868172499,closeLongPosition,39490.01,424.50017460761336,0
206,206,848.1513488660115,0.0,closeShortPosition,39139.74,426.9688306281248,0
207,207,853.0837235949933,0.0,closeShortPosition,39469.64,422.0729067884502,0
208,208,0.0,0.01068291562531763,closeLongPosition,40560.01,432.8658654274473,0
209,209,864.8659991240397,0.0,closeShortPosition,38667.14,451.72929344448596,0
210,210,902.555128302083,0.0,closeShortPosition,38410.93,453.34367422907826,0
211,211,905.7806611096984,0.0,closeShortPosition,39191.58,442.75798828865834,0
212,212,0.0,0.01128597597495099,closeLongPosition,39388.5,444.09312702466775,0
213,213,887.2980677952862,0.0,closeShortPosition,39899.44,436.9852350216398,0
214,214,873.0964995732363,0.0,closeShortPosition,39542.94,439.55492843649574,0
215,215,878.2307470161185,0.0,closeShortPosition,38522.33,449.55025163672093,0
216,216,898.2014027701684,0.0,closeShortPosition,38553.36,447.81917210124396,0
217,217,894.7427058582855,0.0,closeShortPosition,38426.31,447.9294893117892,0
218,218,0.0,0.011645186847825811,closeLongPosition,37948.39,441.47417603204036,0
219,219,882.0654037120166,0.0,closeShortPosition,38504.49,433.66621355618594,0
220,220,866.4650946852595,0.0,closeShortPosition,38975.11,427.0498608107192,0
221,221,853.245621899817,0.0,closeShortPosition,38551.0,430.3916320014495,0
222,222,859.9224807388962,0.0,closeShortPosition,38501.06,429.63768981409174,0
223,223,858.4161042485553,0.0,closeShortPosition,38149.23,432.25140701172023,0
224,224,863.638311209417,0.0,closeShortPosition,37998.69,432.6388656781899,0
225,225,0.0,0.011374240185977772,closeLongPosition,39189.99,445.3106027869209,0
226,226,0.0,0.011351503079846002,closeLongPosition,39752.93,450.8042518205746,0
227,227,900.7068951375081,0.0,closeShortPosition,37036.55,480.20595760841456,0
228,228,959.4515033016123,0.0,closeShortPosition,36435.42,486.52994305285165,0
229,229,0.0,0.013339860309275942,closeLongPosition,36218.01,482.66005088587923,0
230,230,0.0,0.0133131939285177,closeLongPosition,35746.63,475.4259156634876,0
231,231,949.9009794956482,0.0,closeShortPosition,35965.83,471.0652328255665,0
232,232,0.0,0.013084479562761124,closeLongPosition,34400.81,449.66657869204107,0
233,233,898.4338242266981,0.0,closeShortPosition,34383.19,448.52701458493334,0
234,234,0.0,0.013031905636747153,closeLongPosition,33648.89,438.0706501020236,0
235,235,875.2651589038431,0.0,closeShortPosition,31692.1,462.18725624245815,0
236,236,0.0,0.014569090372244683,closeLongPosition,31219.46,454.3842949785653,0
237,237,907.8598213671735,0.0,closeShortPosition,31217.91,453.0228002567591,0
238,238,0.0,0.014497119680865964,closeLongPosition,31218.02,452.1188007675276,0
239,239,903.3333639335201,0.0,closeShortPosition,30327.19,463.63094035896535,0
240,240,926.3346188372128,0.0,closeShortPosition,27793.62,500.91415525289943,0
241,241,1000.8264821952931,0.0,closeShortPosition,29701.1,465.04331607171116,0
