index,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.6921170949935913,0.5331919193267822,0.6902245879173279,0.5494868159294128
1,0.6894741654396057,0.5349988341331482,0.6784853339195251,0.5500366687774658
2,0.6584240198135376,0.6092387437820435,0.628247857093811,0.6535923480987549
3,0.6159605979919434,0.6590462923049927,0.6007556319236755,0.6713709831237793
4,0.5986924171447754,0.6695734262466431,0.5908925533294678,0.6732038259506226
5,0.5702530741691589,0.6954199075698853,0.5657734274864197,0.697030782699585
6,0.5237478613853455,0.7351716756820679,0.5321463942527771,0.7428519129753113
7,0.47370821237564087,0.7729594111442566,0.4952269196510315,0.7609970569610596
8,0.40039145946502686,0.8191531300544739,0.41190725564956665,0.8154325485229492
9,0.310744047164917,0.8734386563301086,0.3626496195793152,0.8522727489471436
10,0.23986279964447021,0.9066698551177979,0.3306323289871216,0.8702346086502075
11,0.20181390643119812,0.9210464954376221,0.2870013117790222,0.8905791640281677
12,0.16456060111522675,0.9378584623336792,0.257343053817749,0.9004765152931213
13,0.13214416801929474,0.9506638646125793,0.25468412041664124,0.9046920537948608
14,0.11116091907024384,0.9583628177642822,0.2648666501045227,0.9083577990531921
