index,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.0437543392181396,0.5276141166687012,0.9708549976348877,0.537756621837616
1,0.9748433232307434,0.5415194034576416,0.9672874808311462,0.537756621837616
2,0.964148998260498,0.5425406694412231,0.959205687046051,0.5436217188835144
3,0.9550270438194275,0.5489041209220886,0.9442747235298157,0.5610337257385254
4,0.9339902997016907,0.5625736713409424,0.9391613006591797,0.5637829899787903
5,0.9066364169120789,0.5878702402114868,0.9114110469818115,0.5722140669822693
6,0.8918883204460144,0.5997329354286194,0.8945335745811462,0.587243378162384
7,0.8574729561805725,0.6187446117401123,0.8556329011917114,0.6303152441978455
8,0.8127020597457886,0.6471835970878601,0.8080180287361145,0.6517595052719116
9,0.7543290257453918,0.6742085218429565,0.7558395862579346,0.671737551689148
10,0.686882495880127,0.7046115398406982,0.6884560585021973,0.7027125954627991
11,0.606813907623291,0.749626874923706,0.7190542817115784,0.7058284282684326
12,0.5208898186683655,0.7899285554885864,0.5503923296928406,0.7751099467277527
13,0.4196949601173401,0.8359651565551758,0.4938061833381653,0.8024193644523621
14,0.32312628626823425,0.876581072807312,0.4119720757007599,0.8390762209892273
