,index,previousStableCoinBalance,previousTickerBalance,currentAction,priceAtCurrentAction,currentStableCoinBalance,currentTickerBalance
0,0,0.0,0.023392913843828064,closeLongPosition,42629.9,996.240340293135,0
1,1,1990.4881999056836,0.0,closeShortPosition,43381.45,984.913942685312,0
2,2,1967.8580574852533,0.0,closeShortPosition,42217.03,991.285762356556,0
3,3,1980.5889531883988,0.0,closeShortPosition,42033.75,992.565800523758,0
4,4,1983.1464694464685,0.0,closeShortPosition,41706.66,997.2588934251766,0
5,5,0.0,0.023884281665854386,closeLongPosition,41912.76,1000.0551090681219,0
6,6,0.0,0.023086311564358124,closeLongPosition,38842.03,895.822487165773,0
7,7,1789.8533293572145,0.0,closeShortPosition,38720.72,895.8889910850052,0
8,8,1789.9862041878403,0.0,closeShortPosition,35123.56,895.8250572459493,0
9,9,1789.8584643774068,0.0,closeShortPosition,35950.0,853.2532609554565,0
10,10,1704.800015389002,0.0,closeShortPosition,35930.8,902.651039899013,0
11,11,0.0,0.02430351509796386,closeLongPosition,37814.46,918.1052752318192,0
12,12,0.0,0.024254932371283032,closeLongPosition,37538.19,909.5757735305828,0
13,13,0.0,0.023849919651024197,closeLongPosition,37832.44,901.3983535479917,0
14,14,1800.9939103888876,0.0,closeShortPosition,36912.84,920.5423313515284,0
15,15,1839.243578040354,0.0,closeShortPosition,38341.99,882.131808029593,0
16,16,0.0,0.022855870277205523,closeLongPosition,39110.89,893.0195148377886,0
17,17,0.0,0.02281018139252139,closeLongPosition,38423.44,875.5691904885374,0
18,18,1749.3872425960976,0.0,closeShortPosition,37336.71,897.6423924278816,0
19,19,1793.4895000709075,0.0,closeShortPosition,36906.99,905.2296310401267,0
20,20,1808.6488028181732,0.0,closeShortPosition,36687.0,907.8629735933738,0
21,21,1813.9102212395608,0.0,closeShortPosition,37289.34,890.2062455183387,0
22,22,0.0,0.022084652232546482,closeLongPosition,41465.42,914.833630996101,0
23,23,0.0,0.020866816949221885,closeLongPosition,44362.01,924.7682482273813,0
24,24,0.0,0.02082510418214039,closeLongPosition,43017.01,894.9378811393209,0
25,25,0.0,0.020515961827874796,closeLongPosition,42287.0,866.6909193375261,0
26,26,0.0,0.02046326390131652,closeLongPosition,41962.01,857.8210047752232,0
27,27,0.0,0.019714379595417966,closeLongPosition,44123.18,868.9912583574771,0
28,28,1736.2445341982393,0.0,closeShortPosition,43893.67,870.8601719360898,0
29,29,1739.9786235283075,0.0,closeShortPosition,43647.36,873.0897663060377,0
30,30,1744.4333530794634,0.0,closeShortPosition,43615.72,871.0626775782223,0
31,31,1740.383229801288,0.0,closeShortPosition,40513.23,898.8087829567314,0
32,32,1795.8199483475494,0.0,closeShortPosition,39933.41,908.9224404095361,0
33,33,0.0,0.022730797217499613,closeLongPosition,39550.65,898.1187871653308,0
34,34,1794.4413367563309,0.0,closeShortPosition,38271.61,924.4000339413263,0
35,35,0.0,0.025219282019567104,closeLongPosition,37709.99,950.0678538922901,0
